vix_threshold,sma_buffer_pct,rsi_gate,cooldown_days,vol_gate,final_balance,total_return_pct,max_drawdown_pct,total_trades,buy_and_hold_pct,win_rate_pct,avg_win,avg_loss,win_loss_ratio,sharpe_ratio,max_consec_losses,avg_hold_days
28,0.96,40,0,1.2,198610,98.6098,29.3882,33,187.856,27.2727,19769.7,3304.89,5.98195,0.415466,6,84.5152
28,0.96,40,3,0,227569,127.569,25.1361,48,187.856,27.0833,19680.7,3665.13,5.3697,0.447513,8,67.1458
28,0.96,40,3,0.8,224835,124.835,22.8313,44,187.856,22.7273,24253.9,3461.87,7.006,0.445629,7,72.0909
28,0.96,40,3,1,252191,152.191,23.0952,34,187.856,29.4118,24854.4,4014.73,6.19081,0.513203,4,89.9118
28,0.96,40,3,1.2,203309,103.309,28.3823,30,187.856,26.6667,22630.9,3533.56,6.40456,0.429358,5,92.7667
28,0.96,40,5,0,247034,147.034,23.109,44,187.856,29.5455,20141.1,3703.24,5.43879,0.487959,6,72.8182
28,0.96,40,5,0.8,231112,131.112,23.9123,40,187.856,25,23333.3,3407.37,6.84789,0.461268,6,78.55
28,0.96,40,5,1,261674,161.674,23.0952,32,187.856,31.25,24987.3,4009.07,6.2327,0.533941,4,95.0938
28,0.96,40,5,1.2,196716,96.7157,32.5602,31,187.856,25.8065,21448,3255.14,6.58895,0.414921,6,88.5484
28,0.96,40,10,0,213205,113.205,32.6817,41,187.856,26.8293,19489.9,3372.82,5.77852,0.427875,7,75.9024
28,0.96,40,10,0.8,203161,103.161,28.8207,39,187.856,23.0769,22515.7,3316.03,6.78998,0.406838,7,78.7436
28,0.96,40,10,1,231170,131.17,24.6655,33,187.856,30.303,21788.5,3770.23,5.77909,0.48051,5,90.1818
28,0.96,40,10,1.2,205695,105.695,23.6941,28,187.856,28.5714,22066.5,3541.85,6.23021,0.446564,5,95.5
28,0.96,45,0,0,238300,138.3,27.0045,47,187.856,29.7872,18566.2,3685.67,5.03741,0.47183,8,68.383
28,0.96,45,0,0.8,226993,126.993,27.4681,43,187.856,25.5814,21694.7,3489.02,6.218,0.454182,6,73.3953
28,0.96,45,0,1,232820,132.82,23.7369,37,187.856,27.027,23369.9,3736.28,6.25486,0.482907,6,80.3784
28,0.96,45,0,1.2,195883,95.8828,32.5514,33,187.856,27.2727,19316.8,3248.68,5.94604,0.41774,5,81.3939
28,0.96,45,3,0,241748,141.748,25.9444,45,187.856,28.8889,20247.7,3796.01,5.33394,0.478838,8,71.3778
28,0.96,45,3,0.8,230243,130.243,26.4221,41,187.856,24.3902,24160.6,3592.34,6.72558,0.461251,6,76.9268
28,0.96,45,3,1,236284,136.284,22.6382,35,187.856,25.7143,26298.6,3861.67,6.81018,0.490773,6,84.8286
28,0.96,45,3,1.2,205625,105.625,29.2107,30,187.856,26.6667,22702,3454.16,6.57237,0.444897,5,89.3333
28,0.96,45,5,0,264112,164.112,23.446,41,187.856,31.7073,20849,3818.76,5.45962,0.522824,6,77.9268
28,0.96,45,5,0.8,238517,138.517,25.514,38,187.856,26.3158,23551.3,3464.15,6.79858,0.480547,5,82.3421
28,0.96,45,5,1,240655,140.655,22.6382,34,187.856,26.4706,26170.2,3795.11,6.89578,0.502356,6,86.8529
